variant_name,dataset,ACC_mean,ACC_std,NMI_mean,NMI_std,ARI_mean,ARI_std
baseline,baron,0.7302605989887203,0.0014553315390019386,0.8447461868147288,0.0005307953143136349,0.7795651797486434,0.000634549119765728
no_cl,baron,0.6966161026837806,0.003334583469366435,0.8148869663712587,0.01722104418207054,0.6632187878393406,0.005435461399320939
no_cluster,baron,0.7884091793076623,0.05227558180953876,0.8428220166925898,0.017110203083844155,0.8113799333693791,0.06421544198351088
no_zinb,baron,0.7300661221314663,0.0018035041803764343,0.8429499177735541,0.0010322703823393588,0.7785686587694064,0.0003670194894022183
no_edge_aug,baron,0.8626993387786853,0.002623636243335683,0.8733821670864682,0.0025321931714930687,0.9020805810850424,0.0026650722921000044
no_feature_aug,baron,0.8626993387786853,0.002623636243335683,0.8733821670864682,0.0025321931714930687,0.9020805810850424,0.0026650722921000044
